id,gid,"date",newcount,"version",step,retention,retentionrate
1,1,"2017-12-02 00:00:00",78,"ios-0.2.40",1,27,0.346154
2,1,"2017-12-02 00:00:00",68,"android-0.2.41",1,22,0.323529
3,1,"2017-12-02 00:00:00",89,"android-0.2.40",1,20,0.224719
4,1,"2017-12-02 00:00:00",5,"android-0.2.43",1,2,0.4
5,1,"2017-12-02 00:00:00",54,"android-0.2.42",1,24,0.444444
6,1,"2017-12-02 00:00:00",13,"android-0.2.31",1,7,0.538462
7,1,"2017-12-02 00:00:00",1,"android-0.1.12",1,0,0
8,1,"2017-12-02 00:00:00",27,"android-0.2.44",1,13,0.481481
9,1,"2017-12-02 00:00:00",78,"ios-0.2.40",2,21,0.269231
10,1,"2017-12-02 00:00:00",68,"android-0.2.41",2,13,0.191176
11,1,"2017-12-02 00:00:00",89,"android-0.2.40",2,20,0.224719
12,1,"2017-12-02 00:00:00",5,"android-0.2.43",2,3,0.6
13,1,"2017-12-02 00:00:00",54,"android-0.2.42",2,18,0.333333
14,1,"2017-12-02 00:00:00",13,"android-0.2.31",2,5,0.384615
15,1,"2017-12-02 00:00:00",1,"android-0.1.12",2,0,0
16,1,"2017-12-02 00:00:00",27,"android-0.2.44",2,12,0.444444
17,1,"2017-12-02 00:00:00",78,"ios-0.2.40",3,17,0.217949
18,1,"2017-12-02 00:00:00",68,"android-0.2.41",3,12,0.176471
19,1,"2017-12-02 00:00:00",89,"android-0.2.40",3,16,0.179775
20,1,"2017-12-02 00:00:00",5,"android-0.2.43",3,1,0.2
21,1,"2017-12-02 00:00:00",54,"android-0.2.42",3,22,0.407407
22,1,"2017-12-02 00:00:00",13,"android-0.2.31",3,4,0.307692
23,1,"2017-12-02 00:00:00",1,"android-0.1.12",3,0,0
24,1,"2017-12-02 00:00:00",27,"android-0.2.44",3,8,0.296296
25,1,"2017-12-02 00:00:00",78,"ios-0.2.40",4,10,0.128205
26,1,"2017-12-02 00:00:00",68,"android-0.2.41",4,16,0.235294
27,1,"2017-12-02 00:00:00",89,"android-0.2.40",4,14,0.157303
28,1,"2017-12-02 00:00:00",5,"android-0.2.43",4,2,0.4
29,1,"2017-12-02 00:00:00",54,"android-0.2.42",4,21,0.388889
30,1,"2017-12-02 00:00:00",13,"android-0.2.31",4,5,0.384615
31,1,"2017-12-02 00:00:00",1,"android-0.1.12",4,0,0
32,1,"2017-12-02 00:00:00",27,"android-0.2.44",4,7,0.259259
33,1,"2017-12-02 00:00:00",78,"ios-0.2.40",5,18,0.230769
34,1,"2017-12-02 00:00:00",68,"android-0.2.41",5,17,0.25
35,1,"2017-12-02 00:00:00",89,"android-0.2.40",5,10,0.11236
36,1,"2017-12-02 00:00:00",5,"android-0.2.43",5,2,0.4
37,1,"2017-12-02 00:00:00",54,"android-0.2.42",5,15,0.277778
38,1,"2017-12-02 00:00:00",13,"android-0.2.31",5,3,0.230769
39,1,"2017-12-02 00:00:00",1,"android-0.1.12",5,0,0
40,1,"2017-12-02 00:00:00",27,"android-0.2.44",5,7,0.259259
41,1,"2017-12-02 00:00:00",78,"ios-0.2.40",6,14,0.179487
42,1,"2017-12-02 00:00:00",68,"android-0.2.41",6,10,0.147059
43,1,"2017-12-02 00:00:00",89,"android-0.2.40",6,11,0.123596
44,1,"2017-12-02 00:00:00",5,"android-0.2.43",6,2,0.4
45,1,"2017-12-02 00:00:00",54,"android-0.2.42",6,12,0.222222
46,1,"2017-12-02 00:00:00",13,"android-0.2.31",6,4,0.307692
47,1,"2017-12-02 00:00:00",1,"android-0.1.12",6,0,0
48,1,"2017-12-02 00:00:00",27,"android-0.2.44",6,4,0.148148
49,1,"2017-12-02 00:00:00",78,"ios-0.2.40",7,17,0.217949
50,1,"2017-12-02 00:00:00",68,"android-0.2.41",7,11,0.161765
51,1,"2017-12-02 00:00:00",89,"android-0.2.40",7,11,0.123596
52,1,"2017-12-02 00:00:00",5,"android-0.2.43",7,1,0.2
53,1,"2017-12-02 00:00:00",54,"android-0.2.42",7,10,0.185185
54,1,"2017-12-02 00:00:00",13,"android-0.2.31",7,4,0.307692
55,1,"2017-12-02 00:00:00",1,"android-0.1.12",7,0,0
56,1,"2017-12-02 00:00:00",27,"android-0.2.44",7,7,0.259259
57,1,"2017-12-02 00:00:00",78,"ios-0.2.40",8,12,0.153846
58,1,"2017-12-02 00:00:00",68,"android-0.2.41",8,10,0.147059
59,1,"2017-12-02 00:00:00",89,"android-0.2.40",8,13,0.146067
60,1,"2017-12-02 00:00:00",5,"android-0.2.43",8,1,0.2
61,1,"2017-12-02 00:00:00",54,"android-0.2.42",8,11,0.203704
62,1,"2017-12-02 00:00:00",13,"android-0.2.31",8,3,0.230769
63,1,"2017-12-02 00:00:00",1,"android-0.1.12",8,0,0
64,1,"2017-12-02 00:00:00",27,"android-0.2.44",8,5,0.185185
65,1,"2017-12-02 00:00:00",78,"ios-0.2.40",9,10,0.128205
66,1,"2017-12-02 00:00:00",68,"android-0.2.41",9,17,0.25
67,1,"2017-12-02 00:00:00",89,"android-0.2.40",9,11,0.123596
68,1,"2017-12-02 00:00:00",5,"android-0.2.43",9,1,0.2
69,1,"2017-12-02 00:00:00",54,"android-0.2.42",9,14,0.259259
70,1,"2017-12-02 00:00:00",13,"android-0.2.31",9,3,0.230769
71,1,"2017-12-02 00:00:00",1,"android-0.1.12",9,0,0
72,1,"2017-12-02 00:00:00",27,"android-0.2.44",9,3,0.111111
73,1,"2017-12-02 00:00:00",78,"ios-0.2.40",10,8,0.102564
74,1,"2017-12-02 00:00:00",68,"android-0.2.41",10,12,0.176471
75,1,"2017-12-02 00:00:00",89,"android-0.2.40",10,12,0.134831
76,1,"2017-12-02 00:00:00",5,"android-0.2.43",10,1,0.2
77,1,"2017-12-02 00:00:00",54,"android-0.2.42",10,12,0.222222
78,1,"2017-12-02 00:00:00",13,"android-0.2.31",10,3,0.230769
79,1,"2017-12-02 00:00:00",1,"android-0.1.12",10,0,0
80,1,"2017-12-02 00:00:00",27,"android-0.2.44",10,4,0.148148
81,1,"2017-12-02 00:00:00",78,"ios-0.2.40",11,10,0.128205
82,1,"2017-12-02 00:00:00",68,"android-0.2.41",11,8,0.117647
83,1,"2017-12-02 00:00:00",89,"android-0.2.40",11,8,0.0898876
84,1,"2017-12-02 00:00:00",5,"android-0.2.43",11,1,0.2
85,1,"2017-12-02 00:00:00",54,"android-0.2.42",11,11,0.203704
86,1,"2017-12-02 00:00:00",13,"android-0.2.31",11,3,0.230769
87,1,"2017-12-02 00:00:00",1,"android-0.1.12",11,0,0
88,1,"2017-12-02 00:00:00",27,"android-0.2.44",11,3,0.111111
89,1,"2017-12-02 00:00:00",78,"ios-0.2.40",12,10,0.128205
90,1,"2017-12-02 00:00:00",68,"android-0.2.41",12,13,0.191176
91,1,"2017-12-02 00:00:00",89,"android-0.2.40",12,7,0.0786517
92,1,"2017-12-02 00:00:00",5,"android-0.2.43",12,1,0.2
93,1,"2017-12-02 00:00:00",54,"android-0.2.42",12,13,0.240741
94,1,"2017-12-02 00:00:00",13,"android-0.2.31",12,1,0.0769231
95,1,"2017-12-02 00:00:00",1,"android-0.1.12",12,0,0
96,1,"2017-12-02 00:00:00",27,"android-0.2.44",12,7,0.259259
97,1,"2017-12-02 00:00:00",78,"ios-0.2.40",13,11,0.141026
98,1,"2017-12-02 00:00:00",68,"android-0.2.41",13,14,0.205882
99,1,"2017-12-02 00:00:00",89,"android-0.2.40",13,8,0.0898876
100,1,"2017-12-02 00:00:00",5,"android-0.2.43",13,1,0.2
101,1,"2017-12-02 00:00:00",54,"android-0.2.42",13,8,0.148148
102,1,"2017-12-02 00:00:00",13,"android-0.2.31",13,6,0.461538
103,1,"2017-12-02 00:00:00",1,"android-0.1.12",13,0,0
104,1,"2017-12-02 00:00:00",27,"android-0.2.44",13,5,0.185185
105,1,"2017-12-02 00:00:00",78,"ios-0.2.40",14,7,0.0897436
106,1,"2017-12-02 00:00:00",68,"android-0.2.41",14,12,0.176471
107,1,"2017-12-02 00:00:00",89,"android-0.2.40",14,5,0.0561798
108,1,"2017-12-02 00:00:00",5,"android-0.2.43",14,1,0.2
109,1,"2017-12-02 00:00:00",54,"android-0.2.42",14,10,0.185185
110,1,"2017-12-02 00:00:00",13,"android-0.2.31",14,3,0.230769
111,1,"2017-12-02 00:00:00",1,"android-0.1.12",14,0,0
112,1,"2017-12-02 00:00:00",27,"android-0.2.44",14,2,0.0740741
